uni,society,timestamp,caption,url
lse,lsesu_restructuring,2021-11-27T22:29:19.000Z,"As the term is coming to a close, earn a well deserved break this Wednesday as we are partnering with LSESU Global Bridgades to present you our first social: GAMES NIGHT. 

Hope to see you all there for some fun, food and to meet some new people! Please sign up in the link below: 
https://forms.gle/N7PDNvWGdJMYueR88",https://www.instagram.com/p/CWy8yQFo5Fq/
lse,lsesu_planningsociety,2022-03-08T13:44:15.000Z,"Hello planners!
Reminder that tonight (Tuesday, March 8th), is the first edition of the Planning Society Speaker series, with LSE alum Valentine Quinio of Centre for Cities, London.
Come by to hear about her experience and planning career advice!
In person at Michael Wise Room, 3rd floor, STC, and online. Zoom link in bio!
.
.
.
.
.
.
.
#planners#plannerswithjobs#career#experience#dowork#LSE#Geography#urbanplanning#London#UK",https://www.instagram.com/p/Ca2E--jsYMy/
lse,lsesu.acs,2023-10-09T17:57:35.000Z,"Some flicks from Summer Shutdown ‘23, what a way to start of the year!! shut it downnnnnnnnnnn 🙅🏾‍♀️🔥
Love to @2wo_shots for the photos!!! 💖💖 until next time 😉",https://www.instagram.com/p/CyL_B7Ft8_T/
lse,lsesu_urbanplus,2022-11-28T20:03:24.000Z,"In this week’s blog post, Ankitha dives into the details of why we need green spaces in cities. She explores the benefits of green spaces in the city and the importance of equitable access for all to urban green spaces.  Have a read! Link in the bio!",https://www.instagram.com/p/ClhHBxyMKeR/
ucl,uclaikido,2023-11-20T16:27:25.000Z,"We have organised a quiz and bingo social for this Saturday after training! It will start at 4pm so you have enough time to pick up some lunch if you want. 🍴But snacks and drinks will be provided. The location is South Quad Pop-up 101.

This will be an aikido quiz on technical terms and names based on the pdfs Tamas sent earlier on this term in the Whatsapp gc, so study up if you want to earn a prize 🤓 

The bingo will be to help us all get to know each other more, it will be *people bingo*! 👥 

Please do come along if you are free as it will be a good opportunity to get to know each other and familiarise yourself more with some aikido terminology. 😉",https://www.instagram.com/p/Cz3-GM0ovO1/
cambridge,culanguagesandculture,2023-10-24T18:10:05.000Z,"We were so pleased to see so many people enjoying our language exchange yesterday! It was great to meet you all and hear so many languages.

We hope you’ll come to more of our language exchanges this term, so to stay in the loop you can join the private WhatsApp group in our bio! ☺️",https://www.instagram.com/p/CyyoYhtoZN3/
cambridge,magsocqueens,2024-01-03T10:40:44.000Z,"COMP COMP! We're delighted to be launching our annual composition competition for Queens' members! As we welcome the new year and start looking forward to spring, our theme celebrates one of the most wonderful spaces in our college: The Grove. All genres and styles welcome, we can't wait to see what you come up with! Send submissions to president@magsoc.net by 31st Jan (see emails from Erica for more details) ❤️
📸@fleurgw",https://www.instagram.com/p/C1opZhaMv2K/
kcl,kings_consulting,2023-11-11T16:34:47.000Z,"📣Ready to make your editorial mark?

Join the King’s Consulting Editorial Competition for a chance to stand out and get published in the renowned ‘London Financial’. ✍️

With the rise of AI and technology, this competition focuses on the theme of how strategy consultants can leverage digital transformation. 

Swipe for more details —>",https://www.instagram.com/p/CzgzySytf7S/
cambridge,_theclc,2023-12-27T15:05:47.000Z,"Interested in student journalism this Lent? We’re looking for new staff writers and columnists for the CLC! We have six exciting sections to choose from, so whatever your interest, you can find your niche. Send all applications to cambridgelanguagecollective@mmll.cam.ac.uk along with your name, college, subject, and year of study by the 7th January to be considered!",https://www.instagram.com/p/C1XGKxSrY1j/
cambridge,cambridgesailingteam,2023-11-12T13:56:29.000Z,"We are happy to announce will be taking part in the RYA’s Green Blue challenge, aiming for Platinum status this year!

We are hoping to make our club more sustainable. Sign the Boating Pledge if you would like to help too.
#greenblueunichallenge 
 @rooster_kit @the_green_blue",https://www.instagram.com/p/CzjGdyjtNau/
ucl,uclbuddhistsociety,2023-11-28T09:53:09.000Z,"Happy to announce a collaboration with Vegetarian Society for our first combined vegetarian dinner for the year at Mildreds! Second year running in our quest to find more vegetarian options around UCL and London!

IMPORTANT ANNOUNCEMENT: we're now going to Mildreds Convent Garden, not Kings Cross!!",https://www.instagram.com/p/C0L3VmhtFyr/
kcl,medlifekcl,2023-08-31T13:08:39.000Z,Here is our new Treasurer for this year - Ochai! 🥳,https://www.instagram.com/p/CwnC9i8tL0s/
